epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,345.031,0.49623,0.28444,0.00906,0.98386,1,0.995,0.90236,0.43782,0.15927,0.01031,0.0004456,0.0004456,0.0004456
58,349.251,0.49377,0.28778,0.00867,0.9861,0.98376,0.995,0.88958,0.4424,0.14972,0.01062,0.0004357,0.0004357,0.0004357
59,353.518,0.48072,0.28767,0.00849,0.96325,0.98607,0.995,0.89673,0.46765,0.15732,0.0115,0.0004258,0.0004258,0.0004258
60,357.765,0.49831,0.29138,0.00894,0.98161,0.96682,0.995,0.87809,0.51896,0.206,0.01242,0.0004159,0.0004159,0.0004159
61,361.994,0.48033,0.27815,0.0087,0.96035,0.99493,0.995,0.89132,0.47844,0.15962,0.0122,0.000406,0.000406,0.000406
62,366.219,0.48222,0.28239,0.00852,0.97871,0.99462,0.995,0.91547,0.41523,0.1528,0.00998,0.0003961,0.0003961,0.0003961
63,370.552,0.48334,0.28206,0.00852,0.99163,0.98903,0.995,0.90758,0.43242,0.15641,0.01024,0.0003862,0.0003862,0.0003862
64,374.768,0.4827,0.2757,0.0083,0.98721,1,0.995,0.9087,0.4432,0.12796,0.01081,0.0003763,0.0003763,0.0003763
65,378.986,0.47121,0.27193,0.00846,0.99224,0.96304,0.995,0.90497,0.45168,0.15803,0.01119,0.0003664,0.0003664,0.0003664
66,383.202,0.46422,0.25825,0.00834,0.98525,0.97712,0.995,0.8982,0.49124,0.14989,0.012,0.0003565,0.0003565,0.0003565
67,387.523,0.47994,0.27023,0.00853,0.9853,0.99833,0.995,0.89506,0.49844,0.14338,0.01224,0.0003466,0.0003466,0.0003466
