2026-05-21 06:27:07  INFO  ========================================================================
2026-05-21 06:27:07  INFO  dataset   : /home/aandong/projectYOLO/bottle_test/dataset/Botol-Plastik-Kelas-5---9-1
2026-05-21 06:27:07  INFO  data.yaml : /home/aandong/projectYOLO/bottle_test/dataset/Botol-Plastik-Kelas-5---9-1/data.yaml
2026-05-21 06:27:07  INFO  run dir   : /home/aandong/projectYOLO/bottle_test/runs/detect/yolo26s-Botol-Plastik-Kelas-5---9-1
2026-05-21 06:27:07  INFO  log file  : /home/aandong/projectYOLO/bottle_test/runs/detect/yolo26s-Botol-Plastik-Kelas-5---9-1/train-20260521-062707.log
2026-05-21 06:27:07  INFO  GPU       : NVIDIA GeForce RTX 4070 Ti SUPER
2026-05-21 06:27:07  INFO  epochs=100  patience=20  imgsz=640  batch=0.7  cache=disk  workers=6
2026-05-21 06:33:35  INFO  epoch  63/100  mAP50=0.9950  mAP50-95=0.8742  P=0.9812  R=0.9962
2026-05-21 06:33:40  INFO  epoch  64/100  mAP50=0.9950  mAP50-95=0.8986  P=0.9800  R=0.9943
2026-05-21 06:33:45  INFO  epoch  65/100  mAP50=0.9950  mAP50-95=0.8975  P=0.9852  R=0.9818
2026-05-21 06:33:50  INFO  epoch  66/100  mAP50=0.9950  mAP50-95=0.8784  P=0.9883  R=0.9885
2026-05-21 06:33:56  INFO  epoch  67/100  mAP50=0.9950  mAP50-95=0.8948  P=0.9626  R=0.9974
2026-05-21 06:34:01  INFO  epoch  68/100  mAP50=0.9950  mAP50-95=0.8938  P=0.9661  R=0.9946
2026-05-21 06:34:06  INFO  epoch  69/100  mAP50=0.9950  mAP50-95=0.9021  P=0.9904  R=0.9860
2026-05-21 06:34:11  INFO  epoch  70/100  mAP50=0.9950  mAP50-95=0.9106  P=0.9857  R=0.9959
2026-05-21 06:34:16  INFO  epoch  71/100  mAP50=0.9950  mAP50-95=0.8934  P=0.9651  R=0.9904
2026-05-21 06:34:22  INFO  epoch  72/100  mAP50=0.9950  mAP50-95=0.8729  P=0.9759  R=0.9852
2026-05-21 06:34:27  INFO  epoch  73/100  mAP50=0.9950  mAP50-95=0.9039  P=0.9790  R=0.9963
2026-05-21 06:34:32  INFO  epoch  74/100  mAP50=0.9950  mAP50-95=0.9001  P=0.9766  R=0.9880
2026-05-21 06:34:37  INFO  epoch  75/100  mAP50=0.9950  mAP50-95=0.9054  P=0.9940  R=0.9947
2026-05-21 06:34:42  INFO  epoch  76/100  mAP50=0.9950  mAP50-95=0.8870  P=0.9890  R=0.9912
2026-05-21 06:34:48  INFO  epoch  77/100  mAP50=0.9950  mAP50-95=0.9044  P=0.9854  R=0.9889
2026-05-21 06:34:53  INFO  epoch  78/100  mAP50=0.9950  mAP50-95=0.9048  P=0.9842  R=0.9955
2026-05-21 06:34:58  INFO  epoch  79/100  mAP50=0.9950  mAP50-95=0.8967  P=0.9809  R=0.9908
2026-05-21 06:35:03  INFO  epoch  80/100  mAP50=0.9950  mAP50-95=0.8892  P=0.9805  R=0.9897
2026-05-21 06:35:08  INFO  epoch  81/100  mAP50=0.9950  mAP50-95=0.8881  P=0.9839  R=1.0000
2026-05-21 06:35:14  INFO  epoch  82/100  mAP50=0.9950  mAP50-95=0.9031  P=0.9900  R=0.9945
2026-05-21 06:35:19  INFO  epoch  83/100  mAP50=0.9950  mAP50-95=0.8970  P=0.9714  R=0.9919
2026-05-21 06:35:24  INFO  epoch  84/100  mAP50=0.9950  mAP50-95=0.8977  P=0.9859  R=0.9916
2026-05-21 06:35:29  INFO  epoch  85/100  mAP50=0.9950  mAP50-95=0.8985  P=0.9869  R=0.9985
2026-05-21 06:35:34  INFO  epoch  86/100  mAP50=0.9950  mAP50-95=0.8922  P=0.9939  R=1.0000
