epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,471.006,0.40842,0.2397,0.00734,0.98045,0.98965,0.995,0.88919,0.46131,0.15825,0.01107,0.000242087,0.000242087,0.000242087
81,476.246,0.3967,0.22112,0.00703,0.9839,1,0.995,0.88811,0.47074,0.14243,0.01151,0.000231088,0.000231088,0.000231088
82,481.414,0.3932,0.21284,0.00686,0.98996,0.99451,0.995,0.9031,0.4412,0.14044,0.00986,0.000220089,0.000220089,0.000220089
83,486.566,0.39281,0.23464,0.00719,0.97144,0.99193,0.995,0.89702,0.44289,0.14796,0.01033,0.00020909,0.00020909,0.00020909
84,491.714,0.38493,0.2112,0.00711,0.98589,0.99161,0.995,0.89771,0.45002,0.13286,0.01044,0.000198091,0.000198091,0.000198091
85,496.976,0.38009,0.20867,0.00674,0.98691,0.99853,0.995,0.89848,0.44904,0.1325,0.01079,0.000187092,0.000187092,0.000187092
86,502.131,0.39793,0.2149,0.00726,0.99386,1,0.995,0.89219,0.45719,0.13423,0.01092,0.000176094,0.000176094,0.000176094
87,507.273,0.37102,0.22042,0.0066,0.97735,0.99379,0.995,0.90306,0.4536,0.15924,0.01075,0.000165095,0.000165095,0.000165095
88,512.496,0.37646,0.22378,0.00676,0.98206,0.9975,0.995,0.88178,0.46629,0.14201,0.01123,0.000154096,0.000154096,0.000154096
89,517.618,0.36826,0.21902,0.00648,0.98104,0.99559,0.995,0.89289,0.48582,0.14729,0.01204,0.000143097,0.000143097,0.000143097
90,522.77,0.35833,0.20653,0.00625,0.99056,0.98791,0.995,0.89212,0.4952,0.15607,0.01238,0.000132098,0.000132098,0.000132098
